,r,class_balance,flag,indicator,auc_rs,auc_ts,log_loss_rs,log_loss_ts,coef_rs,coef_ts,ks_rs,ks_ts
4305,5,N,no_signal,plus_DI_EA5,0.49875515067514076,0.5005390522631902,0.6763651305480476,0.6754681244146562,-0.03992277759559239,0.07335074295024371,0.03295642336328474,0.05979333565540462
4306,10,N,no_signal,plus_DI_EA5,0.528751882851207,0.4756609060373483,0.6574770110373145,0.6540150375890753,-0.40974833281856815,-0.6425461089193816,0.07153087875979443,0.0741572251518474
4307,20,N,no_signal,plus_DI_EA5,0.49277739619373473,0.5075238619328639,0.6435065312194381,0.6159559915364434,-0.5524311693004176,-0.2694198269560728,0.021546225944207197,0.05081690354655686
4308,30,N,no_signal,plus_DI_EA5,0.48452425003157407,0.48162641621943947,0.627237229860167,0.6219208848061646,0.28335857580425206,0.2868909729688898,0.0665826167300734,0.06820214669051879
4309,45,N,no_signal,plus_DI_EA5,0.5065092496167932,0.53782752380203,0.6050439049155634,0.5967468788101273,-0.22090323173556528,-0.057809174371690225,0.03609749248212677,0.10701077976237312
4310,60,N,no_signal,plus_DI_EA5,0.5006213846146168,0.45732456140350874,0.5804402631623732,0.5539771282939027,-0.2533421869606059,-0.23392526577001424,0.027964803178294962,0.1355263157894737
4311,90,N,no_signal,plus_DI_EA5,0.5259902598874839,0.5095685206422018,0.5112551286552591,0.4218683580981297,0.11570379522149765,0.34251636740100544,0.06831984570597678,0.07927178899082568
4312,5,N,no_signal,plus_DI_EA50,0.49634640178326395,0.510076130765786,0.6763334781214375,0.6752563434763204,0.00023638457661638335,0.026438634864717356,0.0551070412468632,0.05115191322087874
4313,10,N,no_signal,plus_DI_EA50,0.533513210269014,0.5165248263979534,0.6576757493236938,0.6536446949049576,-0.24851407363704958,-0.2601270406546666,0.07281933464713365,0.09248333594389042
4314,20,N,no_signal,plus_DI_EA50,0.4812886353843594,0.450198295982846,0.6429316305722366,0.6172260698328099,-0.05506572264076264,0.061283963896583304,0.0567910820254007,0.14721341960948026
4315,30,N,no_signal,plus_DI_EA50,0.4912822194501007,0.4513640429338104,0.6270195454587116,0.6227355507791845,-0.001825758352486021,0.10705446326365713,0.05523587528998336,0.1563804412641622
4316,45,N,no_signal,plus_DI_EA50,0.49806816985128066,0.48892517113856326,0.6049906381365906,0.5969762236073889,-0.0037801708505244905,-0.006735634604940451,0.040396428863952824,0.10044063262255094
4317,60,N,no_signal,plus_DI_EA50,0.4917198628461911,0.4330482456140351,0.5801992521582134,0.5547050412646501,0.0013535463257704325,-0.06559525683298309,0.0616668080794973,0.12412280701754386
4318,90,N,no_signal,plus_DI_EA50,0.5118214494085497,0.5721401949541286,0.5108850586735405,0.41933270799682487,0.3345577078921726,0.27463402508522894,0.061971541458961235,0.18434633027522937
4319,5,N,no_signal,plus_DI_MA10,0.49847676248353856,0.48621684828581385,0.6764921924666357,0.6754060173775067,-0.07816525850643272,-0.008248044259654808,0.03680054966859959,0.07180176145693387
4320,10,N,no_signal,plus_DI_MA10,0.5249522737033757,0.4653492055204581,0.6571589138561514,0.654768506595975,-0.33894126139996666,-0.4431064659191426,0.06271923785882058,0.11616979063332115
4321,20,N,no_signal,plus_DI_MA10,0.48273912876541686,0.5014421526025162,0.6437775230066033,0.6158909102399375,-0.3071875332212361,-0.12382851553865563,0.05390715989129832,0.07838858422360956
4322,30,N,no_signal,plus_DI_MA10,0.48367341060314323,0.46814437984496116,0.6272590969863412,0.6227873479217862,0.1426709858763639,0.1802354255467666,0.07427119177344628,0.08601669648181276
4323,45,N,no_signal,plus_DI_MA10,0.5051156640885529,0.4587693760327327,0.6051769128701776,0.5969408917991118,-0.10988224257643377,0.010960314704332529,0.03930121807097808,0.10590919820599574
4324,60,N,no_signal,plus_DI_MA10,0.5065781921450996,0.45820175438596494,0.5802994704004749,0.5543957187069782,-0.11442782808440595,-0.1556127850548021,0.04879241761038935,0.1074561403508772
4325,90,N,no_signal,plus_DI_MA10,0.521655274987379,0.5146036410550459,0.5109933557609997,0.42185848592968034,0.12570452238603985,0.25516565854184087,0.051339643346221396,0.11897935779816514
4326,5,N,no_signal,plus_DI_MA25,0.4902761571373006,0.4453401005125144,0.6766049406740199,0.6756746517215606,-0.049048489687561245,-0.02493146503104976,0.05739930146282136,0.15421870594284387
4327,10,N,no_signal,plus_DI_MA25,0.5251218073727624,0.4714927165457108,0.6573045275723514,0.6553668355845066,-0.2793937150460071,-0.3167408651589483,0.06449471774185263,0.09758262413198977
4328,20,N,no_signal,plus_DI_MA25,0.4709997312321088,0.48942105163285826,0.6431012973433297,0.6172034576193957,-0.0659581820013582,0.06660491611528208,0.08646220398203094,0.13702347293117517
4329,30,N,no_signal,plus_DI_MA25,0.5044403182671238,0.44764646690518783,0.6270127506256566,0.6232196598214359,-0.0007276238169355499,0.0995254120765121,0.03205050086524166,0.18015802027429934
